model,accuracy,f1,precision,recall,roc_auc,test_loss,train_time_s
Logistic Regression,0.8019066084989498,0.7968853545394301,0.8119513841998649,0.7823682498373454,0.8772732340105123,0.4481170239392567,5.8
Naive Bayes,0.7231378251736953,0.7182901767365393,0.7261093568223367,0.7106376057254392,0.7884193505097901,0.6100838950787882,0.0
Linear SVM,0.8147519793181451,0.8110112915189978,0.8220551378446115,0.8002602472348731,0.889937990248039,0.4215579899248057,2.6
Random Forest,0.8197608660526741,0.829238423268274,0.7831429810611537,0.881099544567339,0.9109918818945414,0.50444296317328,2.0
XGBoost,0.8468250121182743,0.8489724390632468,0.8318763659069622,0.8667859466493169,0.9269824662080661,0.36152420096075355,110.3
MLP,0.8501373404427209,0.8506801899702165,0.8420717131474104,0.8594664931685101,0.9242038413619744,0.3593318901449519,39.4
